('__HVKcFKVdr6lVFH2rdQVw', 'Bee', 'Philadelphia, PA', 'October 2007', 6L, 70L, 7L, None, '6-57-20', 7L, datetime.datetime(2013, 12, 7, 17, 21, 42))
('8hTEvUDqWL9quunNn5IGyQ', 'Sue G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 47))
('8iriJZXjKG2Mklnan3r4LQ', 'Danielle R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('8jRRzoE9A3r2tlD3qI_ScA', 'Mandy M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 11))
('8K3ogd8BFj9ntDNsFLwGIg', 'Bobby D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('8kFsAcrCm3i46UlEZDhzmg', 'Kim C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 17, 30))
('8KNziG8jntNp490RB8tl3Q', 'beth a.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 7))
('8lBoWjF0mm5F716kbTT3cw', 'Dan S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 20))
('8MKygqfspKqG2-X9ycR-Ow', 'Hunter B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('8MrHNUT0QBpD5vHxn1rD2w', 'Steve T.', 'Philadelphia, PA', 'October 2010', 477L, 280L, 16L, '13-12-11', '644-719-512', 972L, datetime.datetime(2013, 12, 7, 17, 7, 19))
('8n11If7gMUp0-hr_ow8_Zw', 'M. Sean M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('8N2pv8Ti2ow2bdxTQH-BcA', 'Brendon S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('8naSWSH8SpFdjKUdwZ2UmA', 'MoodSwing n\xe2\x80\xa6', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('8nRi4Lh3qMTXSTXZV1Oe0g', 'Rahim H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 10))
('8OCqnD_p_Usy2LS9DqM_Lw', 'catherine g.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('8Oj4m1xxNoI1P_1mek9fQQ', 'John B.', 'Philadelphia, PA', 'October 2008', 77L, 181L, 1L, '11-10-09', '119-363-199', 106L, datetime.datetime(2013, 12, 7, 17, 13, 15))
('8PlLKJNum3C2VVc-KH62dg', 'Ryan L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 7))
('8ql0idDRwNt0SyxTKOzf6A', 'Yoni K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('8R45rBRqhE2gxI1LPAOVfA', 'kara p.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 9, 27))
('8tducpd8xO5LVquI4EWSRw', 'Ryan C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('8Uu1Wdew9WFuJaRH6hlyyw', 'Lonnie G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 11))
('8wS3HIb0fR5M0uM-SCp8yA', 'Bob H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('8wyhj8Yf5L9P7FpT_wai2Q', 'Elizabeth B.', 'Philadelphia, PA', 'March 2009', 149L, 302L, 26L, '12-11-10-09', '257-687-511', 260L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('8X31t-1J02l_pG_0cO1-Dg', 'Leon E.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 21))
('8XzYo4tHu__hTV_YvTklfQ', 'Vince G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52, 27))
('8yKc9V_oz5v9hwzETRZKLg', 'Keri M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 27))
('8yStSioe9M9uEoeqlZGY1A', 'Psydde D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 10))
('8zBpXAcOy3Eq7ZrfG8gUqQ', 'Aron M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 50))
('9_7LnI956ghV8JZ4whUp9A', 'Douglas D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('9-z8DCVGGVhgwU-etc4zIA', 'Laura G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 7, 50))
('90G8w2xUqxD4ZfO8czW3JA', 'Claw L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 7))
('90QrD73MiLPjs4mtkmBqQQ', 'Paige W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('94kEq3EwPOJs99gbWonH2A', 'Lance A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 54, 5))
('94mJq8xnhpKLMB96KFCrRw', 'Soap I.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 7))
('94nuNE5-Eh8XMT7QVC_uJQ', 'Megan Y.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('96gKcMrWBgh3DN313rlYMA', 'Michael W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 52))
('97-dPyCYmQBykiutyfVuWw', 'Mindy Y.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 2, 47))
('974T-gyWSizCL2jvdgJB5g', 'Joseph D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 20))
('99XnJys-9HDHxY2ui9WtwQ', 'Meri L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('9a22_YvNE5tdgx5umkGmKg', 'Victoria V.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 45, 53))
('9amWUcAZ-ACkiPv_vzvHvQ', 'Kristen D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('9Eb0Plaux_z8BCI-iDvZpA', 'Renata W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 22, 20))
('9eHliSvvTsCCrydSjmBD1Q', 'Marian R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 52))
('9f9shrutdGMXmpbahcHyGg', 'Bobby M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 45))
('9fT32AF_kNlNbKQUd_dgYQ', 'Chakir B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 5))
('9GaElUmfSwQTUMuqEvC-ug', 'Suzanne H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 33))
('9gFBrsFmeUbjCs67HGxjjA', 'Jason Mark V.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 8, 2))
('9H0KplVZyc_73xFKQG_EdQ', 'Nick S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 11))
('9HegIRAM264R_6JB1KwdDw', 'Fred L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 11))
('9kFRMNrL1kH-ffIrkE6Upg', 'Michelle P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('9LBNQVxjQdN6p9uLujrOcQ', 'Nora H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 20))
('9lSug5PJGzRNjxUstFBOCQ', 'Luis B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 16))
('9n89LJACQq-V7VtG_GRsnA', 'John W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('9nQel3WjBis4G0JDAamTxg', 'Sugirtha S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('9P4vPr3g03QBpa7QIPcEhw', 'David D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 40))
('9q9ZMV0WPTF8CI5squ6tww', 'Samara T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 14))
('9qzFOGtmvY70gdw0qlOtTg', 'Eric B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 47))
('9RO0_FSAiocBFISizUH3iw', 'Ed N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 55))
('9sh3-LpVp-kQG964rFQumg', 'Thomas E.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('9tx2WDjOPkjiNgwvx2dFqQ', 'ryan k.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('9wtOAvRj17sxJjhhDpAHcg', 'Cyrus B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 1, 35))
('9XmBX-rGMbyLSFf17sVIig', 'Francisc\xc3\xb8 L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 58, 18))
('9yeC3gJkBsPT1P7jlU7Q6Q', 'John C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('A_BF2dDDUTKGVXrqxO9mag', 'Brian L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('a-8ZuiQk4EsWgebrG-K2HQ', 'Cat D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('a03ZTIac8YQ_rB8DZ-CMNg', 'Stuart C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 59, 47))
('a0nhGI6yvnoh3OpNpdxMHw', 'Anny T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('a0NwFfOKuTuITNV5VsJYqA', 'bhiladelphia b.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('A1bfYkW-31BsNkhUF4eaLg', 'Colleen L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 37))
('A1nIXS5XEWeZ2EUUcOsurA', 'Alanna B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('A1U69Pw0AzbtSct6_uc9Ig', 'Emaleigh K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('a2gbHiB7kDwbhLrtybn0-Q', 'Erika A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 56))
('A3FC9vfot64O0TIsTBqIcw', 'Mike B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 7, 50))
('a3fHfKHVLdaV_tcCLlR0bA', 'Jessica D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 51, 34))
('A3RX6-3zTsyOUPeKhkkZtg', 'Alex G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 37))
('A3S3KdJgXUAnAHKXpAJ1eQ', 'Cyrus T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('A3v4mtWlnaYZpHKKqzNhJg', 'Rob S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 30))
('a41k9NC4DKJ3wJcHUsRSMQ', 'Brian W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('a4qIn28FtC1ClA23LQayoA', 'Nell H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('A52-Qv8A0FhaqTKni9GDcw', 'John B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 47))
('A5OcY1hYN93Em3imJ-K8ww', 'Eric B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('A5UnAt6EYlDh2PPMpAHV_w', 'Sarah M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 53))
('a6GtfnSye5taTS0wlXQqhg', 'Srajan M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 5, 39))
('a6myQnEM2qdJMWcYqOQWlg', 'Judith C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('A6PAzZcMGaYXS1NUnMB2Zg', 'Jessica M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('a6RPdXz6up4JC7VGdfJ4og', 'Edward P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 6))
('A6Xury35b5qz-aq8zMmm5w', 'Diane N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 40))
('a7SSLqG8brVqPUn0f1goKw', 'Lisette D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 1, 15))
('A8wEW2_3hvc9bTAqXIYWZA', 'K H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 17, 20))
('a9A8IDpWG3ulDULfsuEpKw', 'Jared S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 50))
('a9Chw9obsfQznUmf8pNqRg', 'Lydia T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('aA0WQpDdksKuDafTGzJf_A', 'Warren A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('AAbiZlJy8XJiEYAvClXzSA', 'Sloane C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 22))
('aaRf_xEk4u0xc0LHw0QYyg', 'Pri L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 45))
('AASvv8zn_hkSucsa4uQQqw', 'Chombie K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 46))
('Ab81lJFQoOvA98E78xWapQ', 'Jude B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 53))
('aBLgnhzs-4ro0M3p4B4wow', 'Christine D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 22, 20))
('AbuQqU4j3w0Hjc8jsG13DA', 'Amira S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('abv9GQCNO-PfJYzLIC0TNw', 'Josh S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('Ac_6LiBx1yUAdik20SU3Nw', 'Joe D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 17, 41))
('ac7wekMa-andZVyqr_s_Ag', 'Cavin V.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 21))
('aCJ9pGgrjzPd8cfQDEYtpA', 'Zack R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 5, 13))
('AcKJdiyiz3Sjb-lmJNE1oQ', 'Matthew W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 37))
('ACl5vONJYI8tJEWOt7i3YQ', 'Ali P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 49))
('Acw5j5rvUGfW3kMTWFfypA', 'Miss R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 14))
('AdhRiQZilcBLVXaF4tpNYQ', 'Martin B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('adi9O9g6X9ksr0wxFG9Yrw', 'Ashley L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('aDpVwjArtkBTSlFcpe8eUg', 'Ming C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 45, 53))
('AE3jqrd9r0Z5nRkwtQ6oKA', 'Elizabeth G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('AEkV_Q6nZVLssv6N3rcpmA', 'Michael S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 27))
('aErRZ7cRAXFxkc8F1DhL1w', 'Ali K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('aeyL3rRiBvD9mt_H8XBBNA', 'Brendan K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('AF2wygvqImI9gbFijr13rw', 'Jessica T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 52))
('AfDu0XkjqRUGtOrQ39oYzg', 'Ryan A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 8, 32))
('aFi9UE5mbZX9VUr1dkzETw', 'Tim F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 1, 49))
('afkiVSgXCaNsf7xucP2h5Q', 'Gary H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 51, 12))
('aFy-xz6HD1AXpX2S83MbkQ', 'Steven F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 57, 26))
('Afy85zPVPmPp_bx-3l0AdQ', 'James J.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('aGI_wfhcJ86DJ-67Lkty8g', 'Di P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('ahdQ8RWsr76SISCEPtQrbg', 'Phanna P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 45, 53))
('AHgQ1fwwEGkXT2Lz7fijqg', 'Paul D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('aHJ8Jqbadtw-ASIEYmYe6A', 'Laura K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 40))
('AhrwzmRufpwCjn0GqLSQTg', 'Arthur E.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('AI5ABEqpn-5CYYQh9wbehg', 'Leah S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('aieWUdkAzOIR2ejXTnuWkQ', 'Bettie M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('AiX5QD6e7Vpvk1HFPSDvNg', 'Alan \xc2\xa0Brian P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 45, 53))
('aJ1mmZ3zGzKl5ALwdawDPg', 'Simone S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 49))
('AJbVgEzH2tAfDtw1drbQfw', 'Sara W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 45))
('Ajkn3WfnGAV5IMURfAYY_w', 'Catherine F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 52))
('ajRNq0xafGeqJQNIaDHtjQ', 'Kevin C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 49))
('ak64hfW3mX1MmlQ1VfSbOg', 'Ceren O.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 30))
('AkljKA5jZaAk_08v9rqmog', 'Lauren R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('AlkHtGCPW3CbV7tn43iYIg', 'Justin P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('ALWSjow1qxW4SFFZ0ZNB6Q', 'Jeremy B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 58, 18))
('Am_G2m0pwVrEg9AoUp5tow', 'Gia M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 47))
('aM3T4jeHY_fswn6xQ41rtw', 'Nick D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 5, 13))
('am7-gkH_PDz598oTdYSD6A', 'Alexis J.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('amkzMQEYuRICTg5xlXrSWg', 'Jesse M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 16, 4))
('an1Or10-S28b2JpchnJkrg', 'Benjamin S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 23))
('anj7JYvbmAIs0_UiL4mIJw', 'Frank N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('ANkWM3s937Y71aFNcTni9w', 'Gziel J.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 50))
('AnqwSymMFziGD0cmNmtTKQ', 'Anne P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('Ao2E14PVc-KVWfnS8l5yAw', 'Tru L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 7, 19))
('ao9VgeVTGuwkXrmkNIOHCA', 'Lynn L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 19))
('aOa3nAc9aXsCeeN2xcAisg', 'Eve B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 31))
('aP7IHCjaQiD3SHmde_wISQ', 'Carole L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 1, 35))
('AP7o6yRkjkqOveZxHg9seA', 'Jamie M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('APnRrKW2XcHZ_R7K3Zpwxg', 'Eric C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('AQbv0beecK7WGDXOmOaehQ', 'Daniela D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 49))
('AQQ_fqkYs6y_Gg9EoKvoPQ', 'Erin B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 3, 18))
('aQqeMEtyuPLAvwfCnmOd8w', 'Christopher M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('AqSYsO-p80M8WIt5btiK_w', 'jackie p.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 53))
('AsgT_B_A4mZTwUF6X-kTUw', 'Julius D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 40))
('AT9bA09AoY5Q65Czqd8pRg', 'Nerissa L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 33))
('aTpFcK6JMSB180DGlOncPg', 'Lauren K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 16))
('Au5EOWwFrTV3C8GptfHS0Q', 'Amy B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
