ROTD 9/30/2013, userid=x-LrGPXN7WFX15Qk9B6_YQ, Lindsay H., Philadelphia, PA, 
ROTD 1/15/2013, userid=HxyLRaoH9PS09M6R3rV-EQ, Shereen C., Philadelphia, PA, 
ROTD 1/14/2013, userid=dme9K6sQrgpojAay5r8IAA, Bri H., Philadelphia, PA, 
ROTD 1/13/2013, userid=DvP8pq7QzV11_0968ahxMQ, Enid C., Philadelphia, PA, 
ROTD 1/12/2013, userid=CSCKshBCf6-MBGUCFpEGAQ, Lisa D., Philadelphia, PA, 
ROTD 1/11/2013, userid=CAy7UDGySy5DzsgCxktpLg, Stephen H., Philadelphia, PA, 
ROTD 1/10/2013, userid=SbSF-vlTPBn1bYFo-5PrhA, Brie P., Medford, NJ, 
ROTD 1/9/2013, userid=D2Oj0HPSY4MjK2_VTYgnRw, Sarah L., Philadelphia, PA, 
ROTD 1/8/2013, userid=cbBxBySpq87KPiLG25N76Q, Daniel H., Philadelphia, PA, 
ROTD 1/7/2013, userid=qAQjfwspeg9WvCewHLrxOQ, Michael G., Minneapolis, MN, 
ROTD 1/6/2013, userid=jhuCv6dzRQ6a_kEaDvcrTA, Anna A., Portland, OR, 
ROTD 1/5/2013, userid=AvGJVv7Z3a0q1MJT1Ykd0w, Jim H., Folsom, PA, 
ROTD 1/4/2013, userid=hwB9QTmjZRd48mbGPcnw8Q, Alison K., Market East, Philadelphia, PA, 
ROTD 1/3/2013, userid=EVHSSua7Oj_cL9DrPyYl-A, Elise K., Philadelphia, PA, 
ROTD 1/2/2013, userid=eg0cwrodeKGLeLIDTSCXoA, Pam S., Philadelphia, PA, 
ROTD 1/1/2013, userid=7He2tF83YGi8cgbPXByEUg, Jennifer G., Philadelphia, PA
